BrandCode	PartNumber	Weight	Length	Width	Height
GAR	743250-5025S	41.05	13.75	13.75	15.5
GAR	848212-5001S	51.9	13.75	13.75	15.5
GAR	725390-5006S	39.85	13.5	13.25	13
GAR	851824-5001S	43.55			
GAR	848212-5002S				
GAR	854572-5001S	39.1	10.25	11.75	14.5
GAR	743250-5024S				
GAR	888142-5001S	48.8	14	13.5	15
GAR	888143-5001S	49.3	14	13.5	15
GAR	848212-9001S				
GAR	781504-5013S	18.1	13	13	13
GAR	765155-5008S	18.6	17	9	12
GAR	778445-5002S				
GAR	821719-5004S	14.9	13	11	9.75
GAR	857260-5001S				
GAR	855563-5001S				
GAR	721021-5008S	22.7	16.75	9.5	12
GAR	855562-5001S				
GAR	827053-5001S	22.9	28.75	10.5	10.5
GAR	855563-5002S				
GAR	772441-5002S	43.3	14	13.25	15
GAR	773540-5001S				
GAR	739619-5004S	31.55	14	13.25	15
GAR	898199-5001W				
GAR	881028-5002S				
GAR	777469-5002S				
GAR	886976-5004S	54.25	13.75	13.5	15.5
GAR	773542-5001S				
GAR	881027-5002S				
GAR	886195-5001S				
GAR	777318-5003W	19.7	16.75	9	12
GAR	736088-5006S	17.1	16.75	9	12
GAR	777318-5002W	19.85			
GAR	466646-5019S	20.85	13	10.75	9.5
GAR	751851-5004S	19.5	16.75	9	12
GAR	465366-5018S	19.8	9	10	12
GAR	407370-5009S	62.95	13.5	13.5	15
GAR	466176-5001S				
GAR	734852-5009S	40.25	13	13	13
DEL	EX551001	4.9	11.25	5.75	3.5
DEL	EX630781	3.5	11.25	5.75	3.5
DEL	EX630955	5.7	11.25	5.75	3.5
DEL	EX630956	5.65	11.25	5.75	3.5
DEL	EX630957	5.75	11.25	5.75	3.5
DEL	EX630958	5.75	11.25	5.75	3.5
DEL	EX630967	4.9	11.25	5.75	3.5
DEL	EX630968	5	11.25	5.75	3.5
DEL	EX631003	5.15	11.25	5.75	3.5
DEL	EX631007	5.05	11.25	5.75	3.5
DEL	EX631015	2.95	11.25	5.75	3.5
DEL	EX631016	2.9	11.25	5.75	3.5
DEL	EX631017	3	11.25	5.75	3.5
DEL	EX631018	3.05	11.25	5.75	3.5
DEL	EX631028	3.2	11.25	5.75	3.5
DEL	EX631029	3.15	11.25	5.75	3.5
DEL	EX631030	3.05	11.25	5.75	3.5
DEL	EX631074	3.15	11.25	5.75	3.5
DEL	EX631078	3.15	11.25	5.75	3.5
DEL	EX631079	3.2	11.25	5.75	3.5
DEL	EX631084	3.2	11.25	5.75	3.5
DEL	EX631085	3.2	11.25	5.75	3.5
DEL	EX631086	3.2	11.25	5.75	3.5
DEL	EX631087	3.05	11.25	5.75	3.5
DEL	EX631088	1.3	11.25	5.75	3.5
DEL	EX631089	1.3	11.25	5.75	3.5
DEL	EX631133	3.35	11.25	5.75	3.5
DEL	EX631134	2.6	11.25	5.75	3.5
DEL	EX631145	1.65	11.25	5.75	3.5
DEL	EX631155	1.6	11.25	5.75	3.5
DEL	EX631158	1.65	11.25	5.75	3.5
DEL	EX631273	5.75	11.25	5.75	3.5
DEL	EX631262	3.5	11.25	5.75	3.5
DEL	EX631753	3.95	11.25	5.75	3.5
DEL	EX631756	3.95	11.25	5.75	3.5
DEL	EX631760	3.75	11.25	5.75	3.5
DEL	EX631761	3.8	11.25	5.75	3.5
DEL	EX631763	3.75	11.25	5.75	3.5
DEL	EX631766	3.8	11.25	5.75	3.5
DEL	EX631767	3.8	11.25	5.75	3.5
DEL	EX632542	3.9	11.25	5.75	3.5
DEL	EX632977	5.5	11.25	5.75	3.5
DEL	EX634761	3.3	11.25	5.75	3.5
DEL	EX634434	3.15	11.25	5.75	3.5
DEL	EX634762	3.3	11.25	5.75	3.5
DEL	EX634763	3.3	11.25	5.75	3.5
DEL	EX634888	3.2	11.25	5.75	3.5
DEL	EX635575	5.6	11.25	5.75	3.5
DEL	EX635919	5.7	11.25	5.75	3.5
DEL	EX635695	5.55	11.25	5.75	3.5
DEL	EX636977	5.55	11.25	5.75	3.5
DEL	EX636978	5.55	11.25	5.75	3.5
DEL	EX637557	3.9	11.25	5.75	3.5
DEL	EX637560	3.8	11.25	5.75	3.5
DEL	EX637821	5.6	11.25	5.75	3.5
DEL	EX63800AA	3.4	11.25	5.75	3.5
DEL	EX63701AB	3.4	11.25	5.75	3.5
DEL	EX63803AD	3.4	11.25	5.75	3.5
DEL	EX63804AE	3.4	11.25	5.75	3.5
DEL	EX638665	3.2	11.25	5.75	3.5
DEL	EX639349	3.5	11.25	5.75	3.5
DEL	EX836101	13.1	12	8	8
DEL	EX836100	16.3	12	8	8
DEL	EX639350	3.5	11.25	5.75	3.5
DEL	EX850000	3.4	18	6	5
DEL	EX850001	3.95	18	6	5
DEL	EX850002	2.95	18	6	5
MSP	67	8	13	9	7
MSP	75	19	13	9	7
MSP	88	8	13	9	7
MSP	98	5	13	9	7
MSP	2128	8	13	9	7
MSP	2162R	8.5	13	9	7
MSP	2598PE	9	13	9	7
MSP	4114	10.5	14	10	10
MSP	4575	10	13	9	7
MSP	US7123H	9	13	9	7
MSP	16002	12	13	9	7
MSP	16016002W	12.5	13	9	7
MSP	1600067W	9	13	9	7
MSP	1600072W	7	13	9	7
MSP	1600722W	10	13	9	7
MSP	1602128W	8.5	13	9	7
MSP	160222W	8	13	9	7
MSP	10R7054	15	16	12	12
MSP	10R8897	25	14	10	10
MSP	10R8899	26.5	14	10	10
MSP	HP004X	9	13	9	7
MSP	HP005X	9	13	9	7
MSP	HP008X	9	13	9	7
MSP	HP020X	12	13	9	7
MSP	HP022X	12	13	9	7
MSP	HP032X	9	13	9	7
BOS	FORD67C	44.3	35	17	11.5
BOS	FORD67B	44.3	35	17	11.5
BOS	FORD67A	44.3	35	17	11.5
BOS	FORD67D	44.3	35	17	11.5
ALL	AP60901	1.5	9.5	4	3
BOS	0986435410	0.85	9.75	2.75	9.75
BOS	0986435502	1.55	9.5	9.75	9.5
ALL	AP63803AD	3.25	9.5	4	9.75
MSP	-IPVR15X	19.3	13	9	7
MSP	-IPVR16X	19.3	13	9	7
MSP	-IPVR17X	19.3	13	9	7
MSP	-IPVR19X	19.3	13	9	7
BOS	0986435503	1.5	9.75	2.75	9.75
BOS	0445120177	1.3	10.75	2.75	10.5
BOS	0986437441	10	14.5	9.5	8
BOS	0986435621	1.35	9.75	2.75	9.75
ALL	AP64920	51.2	22.5	19.25	18
ALL	AP54820	76.45	22	19	18.5
ALL	AP66955	2.15	9.75	4	9.75
BOS	0986435646	2.65	11	2.75	11
BOS	0986435504	1.6	9.75	2.75	9.75
BOS	0986435539	2.65	11	2.75	11
BOS	0432193635	0.6	6.75	2.5	6.5
ALL	AP63903AD	3.2	9.75	4	9.75
BOS	0445124019	1.25	8.5	8.75	2.5
MSP	7430022DEL	22.9	18	14	10
MSP	7430021DEL	24.65	24	18	10
GRZ	GA101N	7.7	8	8	8
GRZ	GA102	37.3	41	11	11
GRZ	GA103	20.8	36	10	7
GRZ	GA104N	9.7	9	7	10
GRZ	GA110N	18.5	15	12	10
GRZ	GA201N	31.9	14	11	7
GRZ	GA202N	8.7	9	8	10
GRZ	GA301	7	23	6	7
GRZ	GA320N	5.9	9	10	8
GRZ	GA601FXN	17.2	26.3	8.1	8.5
GRZ	GA602FXN	19.5	29	8	5
GRZ	GA604N	11.8	19	8	5
GRZ	GA605N	8.9	16	8	4
GRZ	GA610N	4.5	11	6	4
GRZ	GA612N	15.4	12	10	7
BQS	0986435109	1.25	9.75	2.75	2.75
BQS	0986435504	1.6	9.75	2.75	2.75
BQS	0986435518	1.35	9.75	2.75	2.75
BQS	0986435573	1.3	9.75	2.75	2.75
BQS	0986437106	8.8	9	8.5	6
BQS	0986437303	18.05	14.5	9.5	8
BQS	0986437304	16.85	14.5	9.5	8
BQS	0986437308	18.05	14.5	9.5	8
BQS	0986437333	18.85	14.5	9.5	8
BQS	0986437334	18.35	12	11	8.5
BQS	0986437341	17.55	14.5	9.5	8
BQS	0986437370	19.2	14.5	9.5	8
BQS	0986437422	9.05	9	8.5	6
BQS	0986435564	1.6	9.75	2.75	2.75
BQS	0986437310	18	14.5	6.5	8
BQS	0986437441	9	9.5	8.5	6.5
PPT	7358-PP	53	14	14	14
PPT	7357-PP	45	14	14	14
PPT	8650-PP	45	14	14	14
PPT	8651-PP	45	14	14	14
PPT	8652-PP	45	14	14	14
PPT	8654-PP	45	14	14	14
PPT	8657-PP	45	14	14	14
PPT	8664-PP	18	15	14	15
PPT	8665-PP	18	15	14	15
PPT	8673-PP	98	24	24	24
PPT	8677-PP	45	14	14	14
PPT	9905-PP	56	15	14	15
MSP	EGR088RM	13	19.5	9	5
MSP	EGR312RM	20	30.5	10.5	11
MSP	4359548RM	54	16.5	16.5	9
MSP	EGR540XD	18	24	11	11
MSP	EGR692RM	13	19.5	9	5
MSP	EGR887RM	24	30.5	10.5	11
MSP	28317158	2	9.5	4.5	2.5
MSP	28337917	1	9.5	4.5	2.5
MSP	0445120177	1	9.5	4.5	2.5
MSP	0986435415	1	9.5	4.5	2.5
MSP	0986435433	1	9.5	4.5	2.5
MSP	0986435505	1	9.5	4.5	2.5
MSP	0986435518	1	9.5	4.5	2.5
MSP	0986435520	1	9.5	4.5	2.5
MSP	0986435574	1	9.5	4.5	2.5
MSP	0986435521	2	9.5	4.5	2.5
MSP	06237	15	13	9	6.5
MSP	06445	14	13	9	6.5
MSP	0986444517	15	13	9	6.5
MSP	DB2431JT3982	12	12	11	9
MSP	3348F010	13	13	9	6.5
MSP	294050-0014	13	13	9	6.5
MSP	294000-1202	10	13	9	6.5
MSP	294000-0265	10	13	9	6.5
MSP	0460424422	17	12	12	12
MSP	0460424056	15	12	12	12
MSP	0460424496	17	12	12	12
MSP	104135-4100	5	8	8	8
MSP	DB4821	13	10	10	10
MSP	640002	1	7	4.5	2.5
MSP	590006	1	10.5	5	2.5
MSP	904500S	1.5	4	3.5	3.5
MSP	FP4374	1.5	6	6	6
MSP	660011	1	10.5	5	2.5
MAH	MS641	18	15.5	9	6
WIL	91-29-5106	19	14.5	7	7
WIL	91-01-4779	19	14.5	7	7
WIL	90-01-4725N	19	12.25	9.5	7
WIL	90-01-4725	19	12.25	9.5	7
WIL	90-01-4576N	17	12.25	9.5	7
WIL	91-29-5138	19	14.75	7	7
WIL	90-15-6390	16	8.25	7.5	7
REM	10461454	20	16	7.5	5.5
REM	19020310	17	11	7.5	8
REM	8600310	18	10.5	9	6.5
MAH	MS641	19	15	8.5	6
MSC	33-1001	5	7.75	4	4
NPD	101211-8140	24	12.5	7.5	9.75
DEN	TG228000-8420	25	16.25	8.25	8.5
DEN	TG228080-7371	25	16.25	8.25	8.5
NPD	210-0643	14	10.5	8.5	6.75
MAH	MG148	30	12	9.5	8.5
MAH	MG314	12.5	9.75	7.25	7
BOS	0001230013	19	13.75	5.75	7.5
DEN	212-0101	18.5	13	12	0.75
DEN	212-0110	18	10	8	9
DEN	212-0111	18	10.75	10	7.5
DEN	282-0110	34	19.5	10.25	7.25
DEN	282-0108	34.5	19.75	10.25	7.5
DEN	282-0110	34.5	19.5	10.25	7.25
BOS	0001230013	18	13.5	7.5	5.75
BOS	SR8574X	18	14.25	6.25	8.25
BOS	SR0469N	8.5	12.5	7	5.25
BOS	SR0473N	9	12.5	7	5.25
BOS	F042002149	35	18	10.5	7.5
BOS	1986A00014	12	9	7.25	6.75
BOS	0124625068	19	11	9	8
BOS	1986A00751	11	9.25	7.25	7.5
REM	8200330	35	18.75	11.5	7.5
BOS	1986A00015	32	12.75	10	11
BOS	AL9963SB	19	11	9	8
BOS	AL9962SB	19	11	9	8
BOS	AL0791X	14	11	9	8
BOS	AL0798N	18	11	9	8
BOS	AL0791N	14	11	9	8
BOS	AL8730X	14	11	9	8
BOS	AL6487X	18	11	9	8
DEN	282-0111	34	19.75	10.25	7.5
DEN	212-0102	17	11	10	7.5
DEN	282-0206	31	19.5	10.25	7.5
DEN	282-0205	31	19.5	10.25	7.5
DEN	282-0204	30	19.5	10.25	7.5
DEN	282-0202	29	19.75	10.25	7.5
DEN	282-0117	34	19.75	10.25	7.5
DEN	282-0116	34	19.75	10.25	7.5
DEN	282-0115	34	19.75	10.25	7.5
DEN	282-0112	34	19.75	10.25	7.5
DEN	282-0110	34	19.75	10.25	7.5
DEN	282-0201	29	19.75	10.25	7.5
DEN	282-0102	60	22	11.25	7.5
DEN	282-0101	60	22	11.25	7.5
CUM	2881702RX	46	14	14.25	19.5
MSC	168824	38	13	12	14
CUM	3802290RX	24	12	13	12.25
BOR	474840	42	14.5	14.5	17
CUM	38022880RX	34	15.5	15.25	16.5
BOR	479030	61	14.5	14.5	17
ALL	AP80050	56	12.25	13.25	14.5
ALL	AP80054	69	13.5	13.5	15
CUM	3802882RX	35	15.5	15.5	16.5
ALL	AP80057	68	13.75	14.5	13.75
CUM	3802946RX	35	15.5	15	16.25
CUM	5327360RX	48	14.5	14.5	17
ALL	AP80058	67	13.5	14.5	14
MSP	1480	55	20.5	14.5	11.25
CUM	5327360RX	48	14.5	14.25	19.75
CUM	5458386RX	56	14.5	14	19.75
MSP	3844	43	13.5	13.25	16
MSP	4720	65	14.5	14.5	18
MSP	8211	65	14.5	14.5	18
MSP	9748	58	14.5	14.5	18
HOL	3592767H	34	14.5	14	19.75
HOL	3795961HX	40	14.25	14	17
HOL	5325950HX	49	14.25	14	19.5
HOL	5326057HX	51	14.25	14.5	18
HOL	5326058HX	50	14.5	14	18
HOL	5499741HX	56	14.5	14.5	17.5
OET	D92080677R	81	16.5	16.5	16.5
OET	D92080689R	62	16.5	16.5	16.5
GRZ	F31CAD-S0182BN	7	11.25	10.25	9
BOR	172743	61	12.75	15.5	15.5
MSP	172743BW	61	12.75	15.5	15.5
ALL	F58VED-S0026BN	35	18	13.25	12.5
MAH	014TC25002100	51	11.75	16.5	17
MAH	098TC25606000	55	11.75	16.5	17
285	TC24557000	64	11.75	16.5	17
BOR	170-070-2981	44	18.25	14.25	19.75
KYS	1012006	4	8	8	7.5
KYS	1012016	4	9.5	9.5	9.5
KYS	1013004	3	6	6	6
KYS	1013008	4	8	8.25	8.5
KYS	1013012	4	9.5	9.5	9.5
KYS	1013013	4	9.5	9.5	9.5
KYS	1014003	2.5	6.25	6.25	4.25
KYS	1015006	2.5	6.25	6.25	4.25
KYS	1015007	5	12.5	12.5	12.5
KYS	1017004	4	6.25	6.25	4.25
KYS	1017005	5	8.25	8.25	8.25
KYS	1017006	4	8.25	8.25	8.25
KYS	1018006	3.5	10.75	6.75	6.75
KYS	1018009	5.5	16.25	10.25	8.5
KYS	1099007	3	6.25	6.25	4.25
KYS	1099020	3.5	12.25	6.5	4.25
KYS	1099021	5	12.5	12	8.75
KYS	1099022	3	6.25	6.25	4.25
KYS	1099047	3	12.25	6.25	4.25
KYS	1099051	3	6.25	6.25	4.25
KYS	1099063	3.5	8.25	8	8.5
KYS	1099070	3	8.25	8	8.5
KYS	1099092	3	8.25	8	8.5
KYS	1099064	3	8	8.25	7.25
KYS	1099159	5	14.5	5.5	5
KYS	1013011	5	17.5	11.75	9
KYS	1013011	5	17.5	11.5	8.5
KYS	1113002	0.5	6.25	6.25	4.25
KYS	1113003	0.5	6.25	6.25	4.25
KYS	1115001	0.5	6.25	6.25	4.25
KYS	1115003	1	6.25	6.25	4.25
KYS	1117003	0.5	6.25	6.25	4.25
KYS	1199001	0.5	6.25	6.25	4.25
KYS	1199003	0.5	6.25	6.25	4.25
KYS	1099312	5	11.25	7.5	6
KYS	1099321	5	11.25	7.5	6
KYS	1099094	3.5	8.25	8.25	8.75
KYS	1199006	0.5	6.25	6.25	4.25
KYS	1199007	0.5	6.25	6.25	4.25
KYS	1199009	0.5	6.25	6.25	4.25
KYS	1199020	0.5	6.25	6.25	4.25
KYS	1299001	2.5	5.5	7.5	8.75
KYS	1299008	3.5	11.25	7.5	6
KYS	1299023	3.5	8.25	8.25	8.75
KYS	1313002	7	7.5	7.5	2.75
KYS	1313008	7	6.75	6.25	2.75
KYS	1380001	7.5	6.75	6.5	3
KYS	1380002	7.5	6.5	6.5	2.75
KYS	1380004	9	6.5	6.5	2.75
KYS	1380005	9	6.5	6.5	2.75
KYS	1380006	10.5	6.5	6.5	2.75
KYS	1380007	7.5	6.5	6.5	2.75
KYS	1399005	7	6.5	6.5	2.75
KYS	1399008	8	7.5	6.75	3
KYS	1401107	17	10.75	7.5	7.75
KYS	1401108	17	10.75	7.5	7.75
KYS	1401115	17	10.75	7.5	7.75
KYS	1401120	17	10.75	7.5	7.75
KYS	1401122	17	10.75	7.5	7.75
KYS	1401126	17	10.75	7.5	7.75
KYS	1401127	17	10.75	7.5	7.75
KYS	1401133	17	10.75	7.5	7.75
KYS	1401201	19	12	12	8
KYS	1401339	17	10.75	7.5	7.75
KYS	1401340	17	10.75	7.5	7.75
KYS	1401346	17	10.75	7.5	7.75
KYS	1401347	17	10.75	7.5	7.75
KYS	1401356	17	10.75	7.5	7.75
KYS	1401359	17	10.75	7.5	7.75
KYS	1401362	17	10.75	7.5	7.75
KYS	1401373	17	10.75	7.5	7.75
KYS	1401379	17	10.75	7.5	7.75
KYS	1401380	17	10.75	7.5	7.75
KYS	1401390	17	10.75	7.5	7.75
KYS	1401396	17	10.75	7.5	7.75
KYS	1401397	17	10.75	7.5	7.75
KYS	1401399	17	10.75	7.5	7.75
KYS	1401404	17	10.75	7.5	7.75
KYS	1401405	17	10.75	7.5	7.75
KYS	1401406	17	10.75	7.5	7.75
KYS	1401413	17	10.75	7.5	7.75
KYS	1401414	17	10.75	7.5	7.75
KYS	1401415	17	10.75	7.5	7.75
KYS	1401416	17	10.75	7.5	7.75
KYS	1401426	17	10.75	7.5	7.75
KYS	1401427	17	10.75	7.5	7.75
KYS	1401428	17	10.75	7.5	7.75
KYS	1401437	17	10.75	7.5	7.75
KYS	1401438	17	10.75	7.5	7.75
KYS	1401445	17	10.75	7.5	7.75
KYS	1401438	21	12	12	8
KYS	1401520	16	11	7.5	7.75
KYS	1401531	17	11	7.5	7.75
KYS	1402002	15	10.5	6	7.5
KYS	1403121	16	11.75	7	7.5
KYS	1403119	16	11.75	7	7.5
KYS	1403168	19	13	8.25	7.5
KYS	1410002	18	10.75	7.5	8
KYS	1410003	18	10.75	7.5	8
KYS	1412010	18	10.75	7.5	8
KYS	1410007	18	10.75	7.5	8
KYS	1410010	18	10.75	7.5	7.75
KYS	1410011	18	10.75	7.5	7.75
KYS	1410013	18	10.75	7.5	7.75
KYS	1410014	18	10.75	7.5	7.75
KYS	1410016	17	10.75	7.5	8
KYS	1410019	17	10.75	7.5	8
KYS	1410021	18	10.75	7.5	8
KYS	1410022	17	10.75	7.5	8
KYS	1410023	17	10.75	7.5	8
KYS	1410025	18	10.75	7.5	8
KYS	1410027	17	10.75	7.5	8
KYS	1410028	18	10.75	7.5	8
KYS	1410042	17	10.75	7.5	8
KYS	1410064	17	10.75	7.5	8
KYS	1410070	17	10.75	7.5	8
KYS	1410080	18	10.75	7.5	8
KYS	1410102	18	10.75	7.5	8
KYS	1411001	15	8.5	6	10.5
KYS	1411002	15	8.5	6	10.5
KYS	1411009	38	18	12	12
KYS	1411016	27	9.5	9.5	13.5
KYS	1411013	27	9.5	9.5	13.5
SUN	CO-2393CA	18	10.75	7.5	8
KYS	1412009	19	11	7.5	10
14-	SD0010NEW	18	10.5	7.5	7.5
KYS	1412013	18	10.5	7.5	8
DEN	471-0555	10.5	11	9.5	7.5
NPD	471-3432	10.5	11	9.5	7.5
NPD	471-3442	10.5	11	9.5	7.5
NPD	471-3452	10.5	11	9.5	7.5
NPD	999-0101	0.65	5.5	2	5.5
KYS	1812002	0.5	4	1.5	4
KYS	1812011	0.5	4	0.5	4
KYS	1812013	0.4	4	0.5	4
KYS	1812016	0.5	4	1.5	4
KYS	1813007	0.45	4	3	4
KYS	1812020	1.15	6	6	4.5
KYS	1812005	0.45	3.5	1.5	3.5
KYS	1812007	0.5	4	1.5	4
KYS	1818006	0.3	4	2	2
KYS	1812010	0.65	6	6	4.25
KYS	1812008	0.4	3	3	2
KYS	1813013	0.35	3	3	2
KYS	1814006	0.55	4.5	3.5	2
KYS	1814008	0.45	4.5	3.5	2
KYS	1814004	0.4	4	2	1.5
KYS	1813014	0.35	4	2	1.5
KYS	1813008	0.05	3	3	2
KYS	1817004	0.55	6	6	4.25
KYS	1817008	0.65	6	6	4.25
KYS	1817007	0.6	6	6	4.25
KYS	1817010	0.65	10	6.25	4.5
KYS	1815001	0.3	4	2	1.5
KYS	1818006	0.3	4	2	1.5
KYS	1818007	0.35	3.5	1.5	3.5
KYS	1899022	0.55	8.5	4.5	1.5
KYS	1818008	0.3	3	3	2
KYS	1899038	1	4	3	3
KYS	1899022	0.85	10	6.5	4.5
KYS	1899003	0.05	7	4	7
KYS	1899002	0.05	7	4	7
KYS	1899044	0.45	4.5	3.5	2
KYS	1899045	0.35	4.5	3.5	2
KYS	1899046	0.5	4	2	1.5
KYS	1910002	1.55	10	6	5.5
KYS	1899058	0.55	4	2	1.5
KYS	1899064	0.55	4	2	1.5
KYS	1911009	1.75	9	3	3
KYS	1912015	5	6.5	5.5	7.5
KYS	1912024	3	11.5	3.75	4
KYS	1912025	2	11.5	4	4
KYS	1912026	2	11.5	4	4
KYS	1912027	5	7	6	5.5
KYS	1912028	5	7.5	8	4.5
KYS	1912030	5	7	6	7.5
KYS	1913012	2	10	9.5	3.5
